epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1937,2.18041,8.47224,1.91912,0.00025,0.04762,0.00015,6e-05,1.54151,8.42308,1.36353,3.75e-05,3.75e-05,3.75e-05
2,29.3791,2.22535,8.3612,1.95653,0.00024,0.04762,0.00014,6e-05,1.56674,8.13153,1.38711,8.70669e-05,8.70669e-05,8.70669e-05
3,31.6568,1.92814,7.78439,1.91313,0.34338,0.09524,0.02439,0.01553,1.62322,6.98185,1.36096,0.000136139,0.000136139,0.000136139
4,34.5724,1.72082,5.37138,1.69586,0.49925,0.23214,0.10088,0.05736,1.55327,10.259,1.42601,0.000184716,0.000184716,0.000184716
5,36.88,1.69101,4.95309,1.5768,0.5177,0.27976,0.08941,0.04914,1.47008,11.8365,1.36587,0.000232798,0.000232798,0.000232798
6,39.1812,1.594,3.92546,1.49976,0.51425,0.45238,0.20692,0.13688,1.28046,8.64517,1.29716,0.000280384,0.000280384,0.000280384
7,41.4111,1.39527,3.51758,1.34978,0.54485,0.27976,0.24752,0.16424,1.18417,5.76407,1.23387,0.000327476,0.000327476,0.000327476
8,43.5574,1.32341,2.98148,1.36005,0.25556,0.57143,0.32627,0.21671,1.19605,3.40164,1.23901,0.000374073,0.000374073,0.000374073
9,46.3779,1.31787,2.62492,1.27918,0.30211,0.69089,0.35786,0.24808,1.2626,3.3547,1.18352,0.000420175,0.000420175,0.000420175
10,48.7142,1.30426,2.32964,1.32078,0.26702,0.57218,0.33808,0.23303,1.14998,2.65436,1.08878,0.000465782,0.000465782,0.000465782
11,50.8409,1.1322,2.33531,1.25353,0.31393,0.60406,0.3286,0.22641,1.04383,3.27837,1.07022,0.000510894,0.000510894,0.000510894
12,52.9461,1.36545,2.57046,1.34249,0.63185,0.3869,0.38509,0.29252,1.04922,2.96517,1.10061,0.000555511,0.000555511,0.000555511
13,55.1829,1.28068,2.40556,1.34586,0.62859,0.29762,0.39811,0.27552,1.09448,3.79971,1.11354,0.000599632,0.000599632,0.000599632
14,57.5426,1.30148,2.22752,1.39208,0.3933,0.58929,0.41366,0.27928,1.10524,6.45927,1.10587,0.000643259,0.000643259,0.000643259
15,60.0334,1.28068,2.07704,1.29578,0.5833,0.43452,0.33968,0.22761,1.27375,3.46986,1.28019,0.000686391,0.000686391,0.000686391
