epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1568,2.33786,14.9489,1.79952,0.00853,0.30952,0.00706,0.00129,1.87554,10.1685,1.54413,3.334e-05,3.334e-05,3.334e-05
2,29.0236,2.00079,16.4635,1.52771,0.00859,0.38095,0.0073,0.00162,1.85862,10.388,1.52405,8.30749e-05,8.30749e-05,8.30749e-05
3,30.6856,2.23243,13.3125,1.79299,0.00894,0.38095,0.00775,0.00166,1.83301,10.6804,1.51626,0.00013248,0.00013248,0.00013248
4,32.4686,2.02629,14.1774,1.52206,0.04572,0.07143,0.16007,0.10066,1.58289,7.82835,1.42704,0.000181555,0.000181555,0.000181555
5,34.7461,1.49751,7.61491,1.28491,0.66086,0.47619,0.47095,0.32546,1.46096,11.4298,1.34471,0.000230299,0.000230299,0.000230299
6,37.1078,1.25323,5.1953,1.0936,0.65873,0.81754,0.65721,0.41098,1.43372,8.43494,1.39497,0.000278714,0.000278714,0.000278714
7,39.0286,1.22922,4.45565,1.07067,0.8063,0.54904,0.74522,0.49174,1.18961,6.71842,1.25208,0.000326799,0.000326799,0.000326799
8,43.2348,1.08833,3.35515,0.97622,0.67583,0.76326,0.76205,0.55044,1.22267,5.68098,1.33198,0.000374553,0.000374553,0.000374553
9,45.5995,1.11116,2.83496,1.00195,0.82168,0.70177,0.78515,0.49404,1.38932,5.48048,1.3482,0.000421978,0.000421978,0.000421978
10,47.6137,0.98403,2.76854,0.91685,0.61717,0.81807,0.83969,0.52234,1.31348,5.65976,1.40244,0.000469072,0.000469072,0.000469072
11,49.7739,0.96882,2.53019,1.01226,0.60331,0.51779,0.53661,0.35864,1.33829,8.63759,1.36937,0.000515836,0.000515836,0.000515836
12,51.518,0.91918,2.21505,0.93102,0.59615,0.30952,0.45282,0.34787,1.23919,16.1274,1.33535,0.000562271,0.000562271,0.000562271
13,53.2825,0.85019,1.95404,1.00065,0.57267,0.39922,0.4738,0.30384,1.28375,27.3656,1.36722,0.000608375,0.000608375,0.000608375
14,55.0286,0.95767,1.78084,0.9462,0.49247,0.53571,0.29087,0.23476,1.26905,38.0493,1.38116,0.000654149,0.000654149,0.000654149
15,56.7867,0.85457,1.34265,0.93894,0.45691,0.69048,0.39178,0.26456,1.06681,31.6617,1.25978,0.000699593,0.000699593,0.000699593
16,58.538,0.86089,1.55702,0.95048,0.19912,0.33333,0.19396,0.15662,1.06914,27.0871,1.20477,0.000744707,0.000744707,0.000744707
17,60.7745,0.89032,1.39866,0.97379,0.24312,0.16667,0.1654,0.13065,1.24134,16.9702,1.37922,0.000789491,0.000789491,0.000789491
18,62.8664,0.95746,1.23085,1.04528,0.06435,0.25,0.0676,0.05659,1.04938,9.08635,1.2255,0.000833945,0.000833945,0.000833945
19,64.6721,0.97146,1.65017,1.01776,0.5,0.24761,0.29737,0.22749,1.02594,5.42291,1.17579,0.000878069,0.000878069,0.000878069
20,66.4458,0.97294,1.56837,1.0039,0.48735,0.41667,0.42723,0.3269,1.12671,3.68279,1.27057,0.000921863,0.000921863,0.000921863
21,68.2059,1.0171,1.14535,1.0428,0.78384,0.70238,0.75108,0.55637,1.13751,2.34796,1.28916,0.000965326,0.000965326,0.000965326
22,69.9712,1.08073,1.26061,1.19549,0.4911,0.41667,0.4575,0.27268,1.19477,2.59009,1.30577,0.00100846,0.00100846,0.00100846
23,71.7496,0.99703,1.1679,0.96188,0.3179,0.479,0.38772,0.23759,1.12863,3.11882,1.28584,0.00105126,0.00105126,0.00105126
24,74.0348,0.99032,1.11284,1.0258,0.43908,0.39286,0.47811,0.35937,1.22674,2.40851,1.589,0.00109374,0.00109374,0.00109374
25,75.8227,0.89651,0.90577,0.97152,0.86531,0.61218,0.6802,0.51032,1.27502,1.86766,1.5301,0.00113588,0.00113588,0.00113588
26,77.5153,1.00385,1.10261,1.0596,0.71505,0.67857,0.70208,0.52093,1.32448,1.63147,1.55637,0.00117769,0.00117769,0.00117769
27,79.2066,0.90273,0.89071,1.0098,0.49318,0.64227,0.60683,0.44766,1.22014,1.75405,1.46454,0.00121918,0.00121918,0.00121918
28,80.9417,0.78534,0.88693,0.92166,0.58285,0.66929,0.59486,0.42806,1.20278,1.32188,1.53232,0.00126033,0.00126033,0.00126033
29,82.6086,0.90774,0.91435,0.99642,0.58285,0.66929,0.59486,0.42806,1.20278,1.32188,1.53232,0.00130115,0.00130115,0.00130115
30,84.383,0.94296,0.92829,1.05865,0.75037,0.77381,0.71254,0.50089,1.1206,1.33669,1.35116,0.00134165,0.00134165,0.00134165
31,86.6248,0.85727,0.83093,0.97933,0.4827,0.77381,0.57518,0.39428,1.1568,2.23398,1.34874,0.00138181,0.00138181,0.00138181
32,88.4587,0.92039,0.8058,0.98477,0.73123,0.84524,0.83967,0.57776,1.1576,1.76981,1.26324,0.00142164,0.00142164,0.00142164
33,90.2324,0.86319,0.90501,0.98138,0.73123,0.84524,0.83967,0.57776,1.1576,1.76981,1.26324,0.00146115,0.00146115,0.00146115
34,92.0403,0.98701,0.89849,0.98821,0.48224,0.4881,0.42728,0.28771,1.20218,11.8446,1.3261,0.00148546,0.00148546,0.00148546
35,93.7843,0.81685,0.69737,0.96647,0.50097,0.32058,0.25354,0.16131,1.37471,41.6799,1.76561,0.00147996,0.00147996,0.00147996
36,95.5742,0.84242,0.77769,0.93358,0.26998,0.30952,0.14154,0.10175,2.26046,120.109,3.16251,0.00147446,0.00147446,0.00147446
37,97.789,0.82709,0.77077,0.91617,0.26998,0.30952,0.14154,0.10175,2.26046,120.109,3.16251,0.00146896,0.00146896,0.00146896
38,100.013,0.79677,0.75239,0.93852,0.4729,0.32143,0.2932,0.17794,1.84674,85.5651,2.27176,0.00146346,0.00146346,0.00146346
39,101.737,0.91856,0.83985,1.08173,0.50126,0.46324,0.27916,0.24029,1.387,181.041,1.6494,0.00145796,0.00145796,0.00145796
40,103.409,0.87756,0.88119,1.02411,0.48383,0.08333,0.1453,0.11614,1.73416,inf,2.69228,0.00145246,0.00145246,0.00145246
41,105.13,0.8723,0.73105,0.97471,0.48383,0.08333,0.1453,0.11614,1.73416,inf,2.69228,0.00144696,0.00144696,0.00144696
42,106.839,0.88609,0.78274,1.03214,0.4375,0.44048,0.11621,0.09857,1.20765,10.3227,1.45743,0.00144145,0.00144145,0.00144145
43,108.6,0.77319,0.64783,0.885,0.41427,0.44048,0.08744,0.07827,1.25631,43.9934,1.59656,0.00143595,0.00143595,0.00143595
44,110.543,0.84839,0.72767,0.94501,0.4761,0.08333,0.0858,0.07701,1.42387,119.367,1.86312,0.00143045,0.00143045,0.00143045
45,112.695,0.88334,0.71522,0.98072,0.4761,0.08333,0.0858,0.07701,1.42387,119.367,1.86312,0.00142495,0.00142495,0.00142495
46,114.407,0.87822,0.91037,0.99941,0.48207,0.16667,0.17181,0.11317,1.38072,60.4094,1.88974,0.00141945,0.00141945,0.00141945
47,116.141,0.90642,0.68724,1.02929,0.49214,0.45238,0.19296,0.11794,1.21368,24.8896,1.39647,0.00141395,0.00141395,0.00141395
