epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2103,2.34012,9.23359,1.85226,0.0036,0.06233,0.00307,0.0013,2.06059,8.18511,1.5044,8.125e-05,8.125e-05,8.125e-05
2,13.9396,1.85832,5.35424,1.50625,0.1687,0.18339,0.05547,0.03309,1.79614,16.6354,1.3622,0.000168472,0.000168472,0.000168472
3,18.2066,1.5911,3.61462,1.33456,0.54705,0.30216,0.28537,0.17219,1.68497,7.30195,1.38597,0.000255404,0.000255404,0.000255404
4,22.2325,1.56227,2.85253,1.29986,0.46753,0.47299,0.40013,0.22303,1.62842,4.11132,1.42118,0.000342048,0.000342048,0.000342048
5,26.1155,1.51909,2.60391,1.30043,0.70489,0.43362,0.49633,0.31626,1.41088,2.09233,1.2846,0.000428404,0.000428404,0.000428404
6,29.9586,1.40328,2.22005,1.21248,0.82088,0.48116,0.54518,0.35033,1.42683,2.13909,1.3395,0.00051447,0.00051447,0.00051447
7,33.7768,1.35171,1.78503,1.18261,0.82157,0.52202,0.63591,0.38605,1.4844,2.01019,1.4216,0.000600248,0.000600248,0.000600248
8,37.606,1.36583,1.75634,1.20275,0.8569,0.48922,0.6399,0.38462,1.42849,1.94585,1.32157,0.000617781,0.000617781,0.000617781
9,41.4777,1.32408,1.54023,1.17664,0.72246,0.46682,0.64043,0.42236,1.45581,1.95746,1.33292,0.00061675,0.00061675,0.00061675
10,46.2005,1.32897,1.4136,1.17837,0.88195,0.64933,0.69774,0.45936,1.36077,1.25978,1.27925,0.000615719,0.000615719,0.000615719
11,51.4043,1.29217,1.33486,1.17718,0.86159,0.60527,0.7181,0.47858,1.27958,1.16394,1.22597,0.000614687,0.000614687,0.000614687
12,55.8411,1.31604,1.31846,1.18241,0.85824,0.64838,0.71383,0.46597,1.29297,1.18583,1.24558,0.000613656,0.000613656,0.000613656
13,59.6109,1.27728,1.24434,1.15929,0.79065,0.63491,0.6922,0.4675,1.36017,1.17026,1.24681,0.000612625,0.000612625,0.000612625
14,63.2438,1.24021,1.1688,1.13722,0.74701,0.62887,0.7122,0.46722,1.47056,1.21485,1.34697,0.000611594,0.000611594,0.000611594
15,66.8886,1.24586,1.21008,1.14295,0.75837,0.69533,0.71716,0.48124,1.3697,1.12133,1.3002,0.000610562,0.000610562,0.000610562
16,72.4402,1.1726,1.04423,1.11765,0.78292,0.71576,0.77015,0.51136,1.35609,1.27415,1.30285,0.000609531,0.000609531,0.000609531
17,76.1454,1.15798,1.06116,1.08973,0.7176,0.71435,0.81345,0.51606,1.36391,1.15386,1.33152,0.0006085,0.0006085,0.0006085
18,79.9128,1.17728,1.03287,1.0995,0.93086,0.74503,0.79473,0.5268,1.29937,0.95976,1.30306,0.000607469,0.000607469,0.000607469
19,84.418,1.15419,0.99886,1.08625,0.85172,0.74112,0.77158,0.52423,1.2683,0.97016,1.28199,0.000606437,0.000606437,0.000606437
20,88.0203,1.12427,0.92089,1.09527,0.79499,0.74083,0.79629,0.51656,1.3074,0.90584,1.27526,0.000605406,0.000605406,0.000605406
21,91.5816,1.14623,0.94199,1.06754,0.77431,0.77541,0.79398,0.52095,1.32124,0.91272,1.26629,0.000604375,0.000604375,0.000604375
22,95.1949,1.14089,0.99182,1.07235,0.9001,0.66351,0.76645,0.49082,1.36717,0.95582,1.32071,0.000603344,0.000603344,0.000603344
23,98.7934,1.11452,0.93581,1.09426,0.78434,0.74486,0.77771,0.5309,1.31292,0.92039,1.27885,0.000602312,0.000602312,0.000602312
24,102.653,1.12251,0.94089,1.06632,0.91405,0.69565,0.76713,0.50113,1.30184,0.86159,1.2678,0.000601281,0.000601281,0.000601281
25,106.263,1.0974,0.87644,1.06943,0.86952,0.67874,0.7674,0.51598,1.28121,0.88237,1.29191,0.00060025,0.00060025,0.00060025
26,109.875,1.07112,0.86129,1.06464,0.89427,0.68835,0.76143,0.49743,1.2777,0.95209,1.24729,0.000599219,0.000599219,0.000599219
27,113.487,1.14288,0.89601,1.09016,0.85165,0.72631,0.75923,0.51818,1.24293,0.83069,1.25565,0.000598187,0.000598187,0.000598187
28,117.055,1.06517,0.88159,1.06417,0.80666,0.74134,0.771,0.52112,1.23775,0.88967,1.24152,0.000597156,0.000597156,0.000597156
29,120.628,1.089,0.85493,1.06808,0.89076,0.70839,0.79603,0.5555,1.23493,0.7997,1.24136,0.000596125,0.000596125,0.000596125
30,124.356,1.04267,0.82353,1.02884,0.9316,0.71063,0.81042,0.55053,1.21488,0.77203,1.19172,0.000595094,0.000595094,0.000595094
31,127.92,1.02227,0.76796,1.04416,0.90265,0.72103,0.88011,0.5662,1.212,0.7722,1.22741,0.000594062,0.000594062,0.000594062
32,131.612,1.04673,0.79715,1.05912,0.95342,0.68991,0.80313,0.53966,1.22542,0.74838,1.22215,0.000593031,0.000593031,0.000593031
33,135.16,1.06028,0.80367,1.05386,0.873,0.76575,0.83197,0.56303,1.20383,0.73656,1.22793,0.000592,0.000592,0.000592
