epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4424,1.98593,6.08033,1.62174,0.71798,0.27695,0.3343,0.20065,1.63159,8.05271,1.4579,0.000204248,0.000204248,0.000204248
2,28.7102,1.46792,2.38241,1.26883,0.64821,0.61912,0.66599,0.3984,1.44991,1.53641,1.33117,0.000411901,0.000411901,0.000411901
3,39.7593,1.37065,1.64407,1.19762,0.77783,0.67367,0.75036,0.47379,1.41197,1.94125,1.34087,0.000618866,0.000618866,0.000618866
4,50.8545,1.30049,1.3194,1.16488,0.78601,0.75204,0.77684,0.52542,1.32254,1.24596,1.20791,0.000621906,0.000621906,0.000621906
5,61.8599,1.23891,1.11095,1.12056,0.84127,0.69291,0.79461,0.52354,1.24946,1.21411,1.19991,0.000620875,0.000620875,0.000620875
6,73.4516,1.18785,1.02976,1.09689,0.75498,0.76655,0.80048,0.54781,1.35858,1.09278,1.27708,0.000619844,0.000619844,0.000619844
7,84.5966,1.14234,0.96118,1.094,0.88523,0.74976,0.8451,0.58126,1.27935,0.96056,1.21731,0.000618813,0.000618813,0.000618813
8,95.9028,1.12741,0.92005,1.06963,0.8599,0.77017,0.85921,0.55916,1.27363,0.77325,1.21501,0.000617781,0.000617781,0.000617781
9,107.275,1.12257,0.90884,1.05772,0.78266,0.83016,0.83934,0.56616,1.16983,0.95304,1.16936,0.00061675,0.00061675,0.00061675
10,119.089,1.06849,0.854,1.0481,0.85773,0.81485,0.86058,0.61045,1.16048,0.81597,1.16902,0.000615719,0.000615719,0.000615719
11,131.852,1.07915,0.84742,1.061,0.86097,0.78274,0.87033,0.62659,1.13989,0.79217,1.15052,0.000614687,0.000614687,0.000614687
12,144.307,1.06125,0.83522,1.04544,0.90427,0.83682,0.88966,0.63123,1.17761,0.72019,1.18705,0.000613656,0.000613656,0.000613656
13,155.199,1.00727,0.76833,1.01732,0.8927,0.82208,0.89986,0.62383,1.13928,0.69712,1.14471,0.000612625,0.000612625,0.000612625
14,168.298,0.9848,0.73083,1.00702,0.89,0.82888,0.87468,0.61349,1.13996,0.68658,1.13337,0.000611594,0.000611594,0.000611594
15,179.091,1.00292,0.7709,1.019,0.85357,0.85314,0.86887,0.6173,1.11791,0.72516,1.16592,0.000610562,0.000610562,0.000610562
16,189.816,0.95352,0.71282,1.00824,0.91947,0.81586,0.89587,0.64791,1.18619,0.66313,1.16207,0.000609531,0.000609531,0.000609531
17,215.007,0.97981,0.71217,1.01507,0.93241,0.83543,0.88611,0.60927,1.23181,0.70855,1.16537,0.0006085,0.0006085,0.0006085
18,225.428,0.93382,0.69329,0.9958,0.89561,0.81501,0.87005,0.6389,1.13129,0.75453,1.11351,0.000607469,0.000607469,0.000607469
19,235.906,0.95012,0.69778,0.99957,0.92405,0.82201,0.89057,0.63853,1.19027,0.65633,1.15234,0.000606437,0.000606437,0.000606437
20,246.625,0.91217,0.66695,0.9903,0.9023,0.86315,0.89845,0.66541,1.19574,0.68167,1.18402,0.000605406,0.000605406,0.000605406
21,257.683,0.90647,0.67153,0.98443,0.91401,0.81994,0.89204,0.64755,1.23638,0.74356,1.18736,0.000604375,0.000604375,0.000604375
22,268.216,0.87449,0.65548,0.96969,0.93609,0.83095,0.88647,0.64704,1.13848,0.64853,1.12256,0.000603344,0.000603344,0.000603344
